Country,Sector,Type,Year,Pollution
Switzerland,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Cyprus,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Czechia,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Germany,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Denmark,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Estonia,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Greece,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Spain,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
European Union - 27 countries (from 2020),"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
European Union - 28 countries (2013-2020),"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Finland,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
France,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Croatia,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Hungary,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,1.46
Ireland,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Iceland,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Italy,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Lithuania,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Luxembourg,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Latvia,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Malta,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Netherlands,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Norway,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Poland,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Portugal,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Romania,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Sweden,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Slovenia,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Slovakia,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Turkey,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
United Kingdom,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Austria,Agriculture,Cardbon dioxide,1985,
Belgium,Agriculture,Cardbon dioxide,1985,
Bulgaria,Agriculture,Cardbon dioxide,1985,
Switzerland,Agriculture,Cardbon dioxide,1985,
Cyprus,Agriculture,Cardbon dioxide,1985,
Czechia,Agriculture,Cardbon dioxide,1985,
Germany,Agriculture,Cardbon dioxide,1985,
Denmark,Agriculture,Cardbon dioxide,1985,
Estonia,Agriculture,Cardbon dioxide,1985,
Greece,Agriculture,Cardbon dioxide,1985,
Spain,Agriculture,Cardbon dioxide,1985,
European Union - 27 countries (from 2020),Agriculture,Cardbon dioxide,1985,
European Union - 28 countries (2013-2020),Agriculture,Cardbon dioxide,1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Agriculture,Cardbon dioxide,1985,
Finland,Agriculture,Cardbon dioxide,1985,
France,Agriculture,Cardbon dioxide,1985,
Croatia,Agriculture,Cardbon dioxide,1985,
Hungary,Agriculture,Cardbon dioxide,1985,228.08
Ireland,Agriculture,Cardbon dioxide,1985,
Iceland,Agriculture,Cardbon dioxide,1985,
Italy,Agriculture,Cardbon dioxide,1985,
Lithuania,Agriculture,Cardbon dioxide,1985,
Luxembourg,Agriculture,Cardbon dioxide,1985,
Latvia,Agriculture,Cardbon dioxide,1985,
Malta,Agriculture,Cardbon dioxide,1985,
Netherlands,Agriculture,Cardbon dioxide,1985,
Norway,Agriculture,Cardbon dioxide,1985,
Poland,Agriculture,Cardbon dioxide,1985,
Portugal,Agriculture,Cardbon dioxide,1985,
Romania,Agriculture,Cardbon dioxide,1985,
Sweden,Agriculture,Cardbon dioxide,1985,
Slovenia,Agriculture,Cardbon dioxide,1985,
Slovakia,Agriculture,Cardbon dioxide,1985,
Turkey,Agriculture,Cardbon dioxide,1985,
United Kingdom,Agriculture,Cardbon dioxide,1985,
Austria,Total,Cardbon dioxide,1985,
Belgium,Total,Cardbon dioxide,1985,
Bulgaria,Total,Cardbon dioxide,1985,
Switzerland,Total,Cardbon dioxide,1985,
Cyprus,Total,Cardbon dioxide,1985,
Czechia,Total,Cardbon dioxide,1985,
Germany,Total,Cardbon dioxide,1985,
Denmark,Total,Cardbon dioxide,1985,
Estonia,Total,Cardbon dioxide,1985,
Greece,Total,Cardbon dioxide,1985,
Spain,Total,Cardbon dioxide,1985,
European Union - 27 countries (from 2020),Total,Cardbon dioxide,1985,
European Union - 28 countries (2013-2020),Total,Cardbon dioxide,1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Total,Cardbon dioxide,1985,
Finland,Total,Cardbon dioxide,1985,
France,Total,Cardbon dioxide,1985,
Croatia,Total,Cardbon dioxide,1985,
Hungary,Total,Cardbon dioxide,1985,552.29
Ireland,Total,Cardbon dioxide,1985,
Iceland,Total,Cardbon dioxide,1985,
Italy,Total,Cardbon dioxide,1985,
Lithuania,Total,Cardbon dioxide,1985,
Luxembourg,Total,Cardbon dioxide,1985,
Latvia,Total,Cardbon dioxide,1985,
Malta,Total,Cardbon dioxide,1985,
Netherlands,Total,Cardbon dioxide,1985,
Norway,Total,Cardbon dioxide,1985,
Poland,Total,Cardbon dioxide,1985,
Portugal,Total,Cardbon dioxide,1985,
Romania,Total,Cardbon dioxide,1985,0.09
Sweden,Total,Cardbon dioxide,1985,
Slovenia,Total,Cardbon dioxide,1985,
Slovakia,Total,Cardbon dioxide,1985,
Turkey,Total,Cardbon dioxide,1985,
United Kingdom,Total,Cardbon dioxide,1985,
Austria,Fuel combustion in transport,Methane,1985,
Belgium,Fuel combustion in transport,Methane,1985,
Bulgaria,Fuel combustion in transport,Methane,1985,
Switzerland,Fuel combustion in transport,Methane,1985,
Cyprus,Fuel combustion in transport,Methane,1985,
Czechia,Fuel combustion in transport,Methane,1985,
Germany,Fuel combustion in transport,Methane,1985,
Denmark,Fuel combustion in transport,Methane,1985,
Estonia,Fuel combustion in transport,Methane,1985,
Greece,Fuel combustion in transport,Methane,1985,
Spain,Fuel combustion in transport,Methane,1985,
European Union - 27 countries (from 2020),Fuel combustion in transport,Methane,1985,
European Union - 28 countries (2013-2020),Fuel combustion in transport,Methane,1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Fuel combustion in transport,Methane,1985,
Finland,Fuel combustion in transport,Methane,1985,
France,Fuel combustion in transport,Methane,1985,
Croatia,Fuel combustion in transport,Methane,1985,
Hungary,Fuel combustion in transport,Methane,1985,53.15
Ireland,Fuel combustion in transport,Methane,1985,
Iceland,Fuel combustion in transport,Methane,1985,
Italy,Fuel combustion in transport,Methane,1985,
Lithuania,Fuel combustion in transport,Methane,1985,
Luxembourg,Fuel combustion in transport,Methane,1985,
Latvia,Fuel combustion in transport,Methane,1985,
Malta,Fuel combustion in transport,Methane,1985,
Netherlands,Fuel combustion in transport,Methane,1985,
Norway,Fuel combustion in transport,Methane,1985,
Poland,Fuel combustion in transport,Methane,1985,
Portugal,Fuel combustion in transport,Methane,1985,
Romania,Fuel combustion in transport,Methane,1985,
Sweden,Fuel combustion in transport,Methane,1985,
Slovenia,Fuel combustion in transport,Methane,1985,
Slovakia,Fuel combustion in transport,Methane,1985,
Turkey,Fuel combustion in transport,Methane,1985,
United Kingdom,Fuel combustion in transport,Methane,1985,
Austria,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Belgium,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Bulgaria,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Switzerland,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Cyprus,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Czechia,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Germany,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Denmark,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Estonia,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Greece,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Spain,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
European Union - 27 countries (from 2020),"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
European Union - 28 countries (2013-2020),"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Finland,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
France,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Croatia,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Hungary,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,36.45
Ireland,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Iceland,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Italy,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Lithuania,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Luxembourg,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Latvia,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Malta,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Netherlands,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Norway,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Poland,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Portugal,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Romania,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Sweden,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Slovenia,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Slovakia,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Turkey,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
United Kingdom,"Fuel combustion in agriculture, forestry and fishing",Methane,1985,
Austria,Agriculture,Methane,1985,
Belgium,Agriculture,Methane,1985,
Bulgaria,Agriculture,Methane,1985,
Switzerland,Agriculture,Methane,1985,
Cyprus,Agriculture,Methane,1985,
Czechia,Agriculture,Methane,1985,
Germany,Agriculture,Methane,1985,
Denmark,Agriculture,Methane,1985,
Estonia,Agriculture,Methane,1985,
Greece,Agriculture,Methane,1985,
Spain,Agriculture,Methane,1985,
European Union - 27 countries (from 2020),Agriculture,Methane,1985,
European Union - 28 countries (2013-2020),Agriculture,Methane,1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Agriculture,Methane,1985,
Finland,Agriculture,Methane,1985,
France,Agriculture,Methane,1985,
Croatia,Agriculture,Methane,1985,
Hungary,Agriculture,Methane,1985,5701.91
Ireland,Agriculture,Methane,1985,
Iceland,Agriculture,Methane,1985,
Italy,Agriculture,Methane,1985,
Lithuania,Agriculture,Methane,1985,
Luxembourg,Agriculture,Methane,1985,
Latvia,Agriculture,Methane,1985,
Malta,Agriculture,Methane,1985,
Netherlands,Agriculture,Methane,1985,
Norway,Agriculture,Methane,1985,
Poland,Agriculture,Methane,1985,
Portugal,Agriculture,Methane,1985,
Romania,Agriculture,Methane,1985,
Sweden,Agriculture,Methane,1985,
Slovenia,Agriculture,Methane,1985,
Slovakia,Agriculture,Methane,1985,
Turkey,Agriculture,Methane,1985,
United Kingdom,Agriculture,Methane,1985,
Austria,Total,Methane,1985,
Belgium,Total,Methane,1985,
Bulgaria,Total,Methane,1985,
Switzerland,Total,Methane,1985,
Cyprus,Total,Methane,1985,
Czechia,Total,Methane,1985,
Germany,Total,Methane,1985,
Denmark,Total,Methane,1985,
Estonia,Total,Methane,1985,
Greece,Total,Methane,1985,
Spain,Total,Methane,1985,
European Union - 27 countries (from 2020),Total,Methane,1985,
European Union - 28 countries (2013-2020),Total,Methane,1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Total,Methane,1985,
Finland,Total,Methane,1985,
France,Total,Methane,1985,
Croatia,Total,Methane,1985,
Hungary,Total,Methane,1985,13807.17
Ireland,Total,Methane,1985,
Iceland,Total,Methane,1985,
Italy,Total,Methane,1985,
Lithuania,Total,Methane,1985,
Luxembourg,Total,Methane,1985,
Latvia,Total,Methane,1985,
Malta,Total,Methane,1985,
Netherlands,Total,Methane,1985,
Norway,Total,Methane,1985,
Poland,Total,Methane,1985,
Portugal,Total,Methane,1985,
Romania,Total,Methane,1985,2.18
Sweden,Total,Methane,1985,
Slovenia,Total,Methane,1985,
Slovakia,Total,Methane,1985,
Turkey,Total,Methane,1985,
United Kingdom,Total,Methane,1985,
Austria,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Belgium,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Bulgaria,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Switzerland,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Cyprus,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Czechia,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Germany,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Denmark,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Estonia,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Greece,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Spain,Fuel combustion in transport,Methane (CO2 equivalent),1985,
European Union - 27 countries (from 2020),Fuel combustion in transport,Methane (CO2 equivalent),1985,
European Union - 28 countries (2013-2020),Fuel combustion in transport,Methane (CO2 equivalent),1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Finland,Fuel combustion in transport,Methane (CO2 equivalent),1985,
France,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Croatia,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Hungary,Fuel combustion in transport,Methane (CO2 equivalent),1985,8017.56
Ireland,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Iceland,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Italy,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Lithuania,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Luxembourg,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Latvia,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Malta,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Netherlands,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Norway,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Poland,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Portugal,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Romania,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Sweden,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Slovenia,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Slovakia,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Turkey,Fuel combustion in transport,Methane (CO2 equivalent),1985,
United Kingdom,Fuel combustion in transport,Methane (CO2 equivalent),1985,
Austria,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Belgium,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Bulgaria,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Switzerland,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Cyprus,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Czechia,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Germany,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Denmark,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Estonia,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Greece,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Spain,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
European Union - 27 countries (from 2020),"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
European Union - 28 countries (2013-2020),"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Finland,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
France,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Croatia,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Hungary,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,3428.04
Ireland,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Iceland,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Italy,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Lithuania,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Luxembourg,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Latvia,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Malta,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Netherlands,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Norway,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Poland,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Portugal,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Romania,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Sweden,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Slovenia,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Slovakia,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Turkey,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
United Kingdom,"Fuel combustion in agriculture, forestry and fishing",Methane (CO2 equivalent),1985,
Austria,Agriculture,Methane (CO2 equivalent),1985,
Belgium,Agriculture,Methane (CO2 equivalent),1985,
Bulgaria,Agriculture,Methane (CO2 equivalent),1985,
Switzerland,Agriculture,Methane (CO2 equivalent),1985,
Cyprus,Agriculture,Methane (CO2 equivalent),1985,
Czechia,Agriculture,Methane (CO2 equivalent),1985,
Germany,Agriculture,Methane (CO2 equivalent),1985,
Denmark,Agriculture,Methane (CO2 equivalent),1985,
Estonia,Agriculture,Methane (CO2 equivalent),1985,
Greece,Agriculture,Methane (CO2 equivalent),1985,
Spain,Agriculture,Methane (CO2 equivalent),1985,
European Union - 27 countries (from 2020),Agriculture,Methane (CO2 equivalent),1985,
European Union - 28 countries (2013-2020),Agriculture,Methane (CO2 equivalent),1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Agriculture,Methane (CO2 equivalent),1985,
Finland,Agriculture,Methane (CO2 equivalent),1985,
France,Agriculture,Methane (CO2 equivalent),1985,
Croatia,Agriculture,Methane (CO2 equivalent),1985,
Hungary,Agriculture,Methane (CO2 equivalent),1985,354.66
Ireland,Agriculture,Methane (CO2 equivalent),1985,
Iceland,Agriculture,Methane (CO2 equivalent),1985,
Italy,Agriculture,Methane (CO2 equivalent),1985,
Lithuania,Agriculture,Methane (CO2 equivalent),1985,
Luxembourg,Agriculture,Methane (CO2 equivalent),1985,
Latvia,Agriculture,Methane (CO2 equivalent),1985,
Netherlands,Agriculture,Methane (CO2 equivalent),1985,
Norway,Agriculture,Methane (CO2 equivalent),1985,
Poland,Agriculture,Methane (CO2 equivalent),1985,
Portugal,Agriculture,Methane (CO2 equivalent),1985,
Romania,Agriculture,Methane (CO2 equivalent),1985,
Sweden,Agriculture,Methane (CO2 equivalent),1985,
Slovenia,Agriculture,Methane (CO2 equivalent),1985,
Slovakia,Agriculture,Methane (CO2 equivalent),1985,
Turkey,Agriculture,Methane (CO2 equivalent),1985,
United Kingdom,Agriculture,Methane (CO2 equivalent),1985,
Austria,Total,Methane (CO2 equivalent),1985,
Belgium,Total,Methane (CO2 equivalent),1985,
Bulgaria,Total,Methane (CO2 equivalent),1985,
Switzerland,Total,Methane (CO2 equivalent),1985,
Cyprus,Total,Methane (CO2 equivalent),1985,
Czechia,Total,Methane (CO2 equivalent),1985,
Germany,Total,Methane (CO2 equivalent),1985,
Denmark,Total,Methane (CO2 equivalent),1985,
Estonia,Total,Methane (CO2 equivalent),1985,
Greece,Total,Methane (CO2 equivalent),1985,
Spain,Total,Methane (CO2 equivalent),1985,
European Union - 27 countries (from 2020),Total,Methane (CO2 equivalent),1985,
European Union - 28 countries (2013-2020),Total,Methane (CO2 equivalent),1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Total,Methane (CO2 equivalent),1985,
Finland,Total,Methane (CO2 equivalent),1985,
France,Total,Methane (CO2 equivalent),1985,
Croatia,Total,Methane (CO2 equivalent),1985,
Hungary,Total,Methane (CO2 equivalent),1985,85865.43
Ireland,Total,Methane (CO2 equivalent),1985,
Iceland,Total,Methane (CO2 equivalent),1985,
Italy,Total,Methane (CO2 equivalent),1985,
Lithuania,Total,Methane (CO2 equivalent),1985,
Luxembourg,Total,Methane (CO2 equivalent),1985,
Latvia,Total,Methane (CO2 equivalent),1985,
Malta,Total,Methane (CO2 equivalent),1985,
Netherlands,Total,Methane (CO2 equivalent),1985,
Norway,Total,Methane (CO2 equivalent),1985,
Poland,Total,Methane (CO2 equivalent),1985,
Portugal,Total,Methane (CO2 equivalent),1985,
Romania,Total,Methane (CO2 equivalent),1985,4018.6
Sweden,Total,Methane (CO2 equivalent),1985,
Slovenia,Total,Methane (CO2 equivalent),1985,
Slovakia,Total,Methane (CO2 equivalent),1985,
Turkey,Total,Methane (CO2 equivalent),1985,
United Kingdom,Total,Methane (CO2 equivalent),1985,
Austria,Fuel combustion in transport,Greenhouse gases,1985,
Belgium,Fuel combustion in transport,Greenhouse gases,1985,
Bulgaria,Fuel combustion in transport,Greenhouse gases,1985,
Switzerland,Fuel combustion in transport,Greenhouse gases,1985,
Cyprus,Fuel combustion in transport,Greenhouse gases,1985,
Czechia,Fuel combustion in transport,Greenhouse gases,1985,
Germany,Fuel combustion in transport,Greenhouse gases,1985,
Denmark,Fuel combustion in transport,Greenhouse gases,1985,
Estonia,Fuel combustion in transport,Greenhouse gases,1985,
Greece,Fuel combustion in transport,Greenhouse gases,1985,
Spain,Fuel combustion in transport,Greenhouse gases,1985,
European Union - 27 countries (from 2020),Fuel combustion in transport,Greenhouse gases,1985,
European Union - 28 countries (2013-2020),Fuel combustion in transport,Greenhouse gases,1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Fuel combustion in transport,Greenhouse gases,1985,
Finland,Fuel combustion in transport,Greenhouse gases,1985,
France,Fuel combustion in transport,Greenhouse gases,1985,
Croatia,Fuel combustion in transport,Greenhouse gases,1985,
Hungary,Fuel combustion in transport,Greenhouse gases,1985,8213.89
Ireland,Fuel combustion in transport,Greenhouse gases,1985,
Iceland,Fuel combustion in transport,Greenhouse gases,1985,
Italy,Fuel combustion in transport,Greenhouse gases,1985,
Lithuania,Fuel combustion in transport,Greenhouse gases,1985,
Luxembourg,Fuel combustion in transport,Greenhouse gases,1985,
Latvia,Fuel combustion in transport,Greenhouse gases,1985,
Malta,Fuel combustion in transport,Greenhouse gases,1985,
Netherlands,Fuel combustion in transport,Greenhouse gases,1985,
Norway,Fuel combustion in transport,Greenhouse gases,1985,
Poland,Fuel combustion in transport,Greenhouse gases,1985,
Portugal,Fuel combustion in transport,Greenhouse gases,1985,
Romania,Fuel combustion in transport,Greenhouse gases,1985,
Sweden,Fuel combustion in transport,Greenhouse gases,1985,
Slovenia,Fuel combustion in transport,Greenhouse gases,1985,
Slovakia,Fuel combustion in transport,Greenhouse gases,1985,
Turkey,Fuel combustion in transport,Greenhouse gases,1985,
United Kingdom,Fuel combustion in transport,Greenhouse gases,1985,
Austria,"Fuel combustion in agriculture, forestry and fishing",Greenhouse gases,1985,
Belgium,"Fuel combustion in agriculture, forestry and fishing",Greenhouse gases,1985,
Bulgaria,"Fuel combustion in agriculture, forestry and fishing",Greenhouse gases,1985,
Switzerland,"Fuel combustion in agriculture, forestry and fishing",Greenhouse gases,1985,
Cyprus,"Fuel combustion in agriculture, forestry and fishing",Greenhouse gases,1985,
Czechia,"Fuel combustion in agriculture, forestry and fishing",Greenhouse gases,1985,
Germany,"Fuel combustion in agriculture, forestry and fishing",Greenhouse gases,1985,
Denmark,"Fuel combustion in agriculture, forestry and fishing",Greenhouse gases,1985,
